n,threshold,hr,category,ate,lower_ci,upper_ci
7350,5,1,is_surgical,5.777504915592772,-28.10677221409324,43.46468177654208
7343,6,1,is_surgical,-9.527997946873938,-46.06444786519006,25.09173077542897
7331,7,1,is_surgical,-25.07063900388198,-62.42020272574422,5.037724627460591
7303,8,1,is_surgical,-42.436301658530226,-74.48627063379683,-21.035253720114042
7220,9,1,is_surgical,-46.47584345888521,-63.89486568771218,-27.364829160181614
7051,10,1,is_surgical,-44.36174818487689,-58.561500655973475,-27.183412783806773
6707,11,1,is_surgical,-36.07165550811021,-45.01991625649492,-27.86027063835138
6216,12,1,is_surgical,-44.83385343742941,-52.04795906432378,-36.92628826662866
5550,13,1,is_surgical,-41.539918174248555,-49.187316794158676,-35.74456451231788
4750,14,1,is_surgical,-42.4615704566084,-48.638366652402794,-36.516456047967836
4046,15,1,is_surgical,-43.91840452659147,-49.679051145131325,-37.55499132223798
3348,16,1,is_surgical,-38.33228676065062,-43.928966109141186,-32.727217071171765
2813,17,1,is_surgical,-32.909201219481474,-40.00531813278246,-27.489044480959762
2315,18,1,is_surgical,-29.566616171932537,-36.91868940072152,-23.710738421653843
1927,19,1,is_surgical,-25.031712871350067,-31.988953613300396,-19.235204208753544
1600,20,1,is_surgical,-20.119527988070217,-27.507832522460944,-9.57921051972562
1365,21,1,is_surgical,-19.913481369439694,-28.392562337265588,-11.049518250803203
1162,22,1,is_surgical,-12.298201830925507,-24.687538386590063,-2.6326337991214928
1015,23,1,is_surgical,-11.449241722010925,-21.756928375655207,-0.21738238568696033
869,24,1,is_surgical,-7.365961823481257,-19.466938402714845,2.39578827929887
748,25,1,is_surgical,-3.9026627695124603,-16.76918255886909,8.808190517366768
650,26,1,is_surgical,-4.748694549420236,-18.638266516589397,8.131162185574112
560,27,1,is_surgical,-3.25851366238885,-14.062471830183767,9.831349880380344
488,28,1,is_surgical,-2.489717209669493,-18.350168961786892,9.604680423506977
421,29,1,is_surgical,0.559376604206193,-16.92481236348283,14.910279141286594
362,30,1,is_surgical,6.7130002055153,-12.003039627719886,25.643567786060828
325,31,1,is_surgical,8.977152772684633,-12.130730416624715,29.89374666150286
288,32,1,is_surgical,11.995226060796313,-13.87589919036111,28.430296255144185
259,33,1,is_surgical,9.134226877567244,-14.790725282950461,31.812359616647143
221,34,1,is_surgical,9.835337298135073,-22.583108467676595,35.79537425268643
196,35,1,is_surgical,3.655508888226052,-19.512111034848942,32.642603951995454
180,36,1,is_surgical,6.097567229843719,-21.209387267689806,34.9720746391568
159,37,1,is_surgical,-1.433158267208114,-27.624835586442146,26.23892136618474
147,38,1,is_surgical,6.79262263452199,-23.17210086016979,32.90674965611271
132,39,1,is_surgical,4.677067244961336,-29.83499771893173,29.626455056678765
119,40,1,is_surgical,4.7792434496578835,-21.384190477068557,44.264636111476534
7300,5,2,is_surgical,-31.495973551631494,-53.8022526644516,-9.098218573206282
7292,6,2,is_surgical,-27.421906878978973,-50.813060779016496,-3.926068265725519
7276,7,2,is_surgical,-32.422801222166015,-52.10555096275385,-12.326284133822185
7247,8,2,is_surgical,-33.00738553321287,-49.069146371733666,-14.359918177780571
7167,9,2,is_surgical,-43.150954534285745,-57.1496951894369,-28.33812884345599
6984,10,2,is_surgical,-59.172317872425765,-69.12831610787896,-49.026883145744364
6599,11,2,is_surgical,-59.71624866711653,-68.36840013435375,-51.84227717549305
6076,12,2,is_surgical,-61.488676080885284,-66.46399288093988,-54.27367435347878
5369,13,2,is_surgical,-62.72747389806551,-68.95371617439963,-56.60491048259007
4492,14,2,is_surgical,-65.50390872596361,-70.71222713080482,-60.096004239850316
3758,15,2,is_surgical,-64.74401535015684,-69.34640098490004,-60.73930644886485
3091,16,2,is_surgical,-61.454085251254185,-66.82233989982024,-56.62117615602776
2541,17,2,is_surgical,-60.17661769045759,-63.95997260518956,-54.37823938836766
2044,18,2,is_surgical,-61.24192644869521,-67.28637918047895,-55.802331746577124
1633,19,2,is_surgical,-62.2305104231811,-67.36060414063184,-55.31216444912988
1336,20,2,is_surgical,-62.404968967838784,-68.54995510633503,-55.995070465148814
1073,21,2,is_surgical,-63.705976055766456,-70.95868158014918,-56.47017220583476
877,22,2,is_surgical,-60.10762075096511,-68.5833796974054,-53.09869479277535
726,23,2,is_surgical,-60.99301387866865,-69.39551891180423,-52.04700118613536
600,24,2,is_surgical,-61.615085080142904,-73.62960835259167,-48.14739891146539
482,25,2,is_surgical,-64.55474983633516,-76.38185196981334,-51.37371365642312
400,26,2,is_surgical,-67.86751522554954,-84.28789811163014,-56.026306590913066
330,27,2,is_surgical,-67.98832970770297,-86.7013040361108,-53.92670206658872
279,28,2,is_surgical,-70.62336822758752,-89.53804560333603,-50.728278674188715
238,29,2,is_surgical,-67.9899257205268,-90.60472297290616,-49.12589927805328
189,30,2,is_surgical,-68.03257013929823,-93.30735910488283,-48.00688637594027
153,31,2,is_surgical,-45.77179286876515,-74.91703974399985,-13.602643518928033
132,32,2,is_surgical,-62.26622647219827,-101.41165988907278,-35.64415370762319
112,33,2,is_surgical,-67.2484680847877,-110.55422269657436,-26.057058542124906
97,34,2,is_surgical,-75.15457464104207,-148.60699701665698,-26.66641216826207
75,35,2,is_surgical,-61.243687150296296,-127.98545312783233,2.991319233991703
64,36,2,is_surgical,-72.86430542066506,-159.37739287497203,3.8442164295569228
57,37,2,is_surgical,-57.49432455765984,-157.7827765999317,-3.4469624384181827
54,38,2,is_surgical,-64.86529211458833,-173.1956389551059,7.922294345707485
48,39,2,is_surgical,-102.28137099233768,-181.18381283542303,-56.333466398900384
40,40,2,is_surgical,-112.05675903323208,-189.75674000871663,-37.93287796646558
7057,5,3,is_surgical,-33.61760163029402,-49.765072571840676,-14.882029408573203
7032,6,3,is_surgical,-27.850035210037618,-39.34723754586213,-10.232995040368849
7008,7,3,is_surgical,-25.53114028137162,-41.157614675897094,-11.444110619277126
6962,8,3,is_surgical,-23.38854327484222,-35.10881163647076,-13.248736120244303
6870,9,3,is_surgical,-20.725506559148755,-31.250265428565967,-10.10200352327962
6711,10,3,is_surgical,-33.31894985078668,-42.03377157951758,-26.16138515942299
6388,11,3,is_surgical,-39.599083784695154,-45.50111014252809,-33.224556993635474
5924,12,3,is_surgical,-48.75992571320552,-54.28075173526122,-43.33565802818873
5264,13,3,is_surgical,-52.60910449822842,-56.93699612069241,-47.25688203646081
4422,14,3,is_surgical,-58.29642108400873,-63.78987421094121,-54.8557102136991
3727,15,3,is_surgical,-59.83114495315914,-64.12860769200725,-56.38706892467383
3049,16,3,is_surgical,-60.50550752189082,-64.04815893679864,-56.559161818932125
2491,17,3,is_surgical,-59.58400858921047,-62.86031286176873,-55.39970102721773
2021,18,3,is_surgical,-60.87853995130334,-65.81140578683454,-56.09047770241588
1640,19,3,is_surgical,-60.74432274610638,-65.38349530200324,-54.363193166872804
1329,20,3,is_surgical,-61.67960867539176,-67.01955671104409,-56.13112354875406
1083,21,3,is_surgical,-62.51202802139048,-69.63234038500678,-57.21951405594629
897,22,3,is_surgical,-61.30087008813808,-68.38294168539807,-53.00220526097419
733,23,3,is_surgical,-60.67365272016397,-67.95909321692992,-54.32384536269228
611,24,3,is_surgical,-67.37330716864867,-74.12026480278624,-59.455191007990265
502,25,3,is_surgical,-70.96841917662351,-81.95530432788681,-61.75328522062591
402,26,3,is_surgical,-77.04691891684988,-86.73252404649637,-66.79418630188664
343,27,3,is_surgical,-77.38267715804179,-92.2306802199355,-64.71263654485051
277,28,3,is_surgical,-76.08748520998091,-90.1302579466595,-62.16090425433461
238,29,3,is_surgical,-78.11126460836687,-100.5815646037845,-62.014908908483136
199,30,3,is_surgical,-77.24701395065216,-97.15461595523169,-61.95546930956823
168,31,3,is_surgical,-67.29544992972228,-95.43740568358041,-45.63415117833088
141,32,3,is_surgical,-84.69870994548126,-107.32632722847086,-63.40155622377702
117,33,3,is_surgical,-80.20405529675148,-107.43580371209532,-53.19319136244113
94,34,3,is_surgical,-94.07066004982852,-119.18939038830092,-68.39116773319864
81,35,3,is_surgical,-89.18427539306441,-115.93020353135432,-58.53048342284407
69,36,3,is_surgical,-90.64588739834824,-120.49303972665854,-60.578486055633306
64,37,3,is_surgical,-86.67904200671143,-121.82341558852033,-43.95004495526601
51,38,3,is_surgical,-66.96799257658267,-104.03615222148719,-19.055046335275904
44,39,3,is_surgical,-82.07238501204696,-131.4250015966663,-20.095941889699617
40,40,3,is_surgical,-72.21865076077796,-130.16696789889664,-27.827587035561294
6395,5,4,is_surgical,-38.63941242622536,-53.97012567665604,-22.060227260426245
6349,6,4,is_surgical,-31.165145673009306,-44.399189182878274,-21.647925466435424
6316,7,4,is_surgical,-26.460278032609665,-38.26558750411283,-14.52797726171815
6256,8,4,is_surgical,-21.878512866858784,-33.408691340986536,-11.452072831563726
6141,9,4,is_surgical,-16.80427689194363,-25.7547749361442,-5.551988489736516
5987,10,4,is_surgical,-21.96451844687374,-29.443976307544574,-13.453800899646183
5708,11,4,is_surgical,-32.0544104773943,-39.478812443299205,-25.83336578085607
5330,12,4,is_surgical,-40.129143569710266,-45.69950460534278,-34.54563745139785
4732,13,4,is_surgical,-45.60776693963601,-49.787563830458566,-41.78715056473692
3992,14,4,is_surgical,-51.251801091038715,-54.30168016004086,-47.01086382453056
3373,15,4,is_surgical,-53.228111392507856,-57.388567929350586,-50.0448995228667
2809,16,4,is_surgical,-53.9158309750201,-57.17198901201698,-49.78865607866666
2315,17,4,is_surgical,-56.38978080818322,-60.68856629878388,-51.30266829921575
1914,18,4,is_surgical,-58.43302202367687,-63.32085504524807,-53.876961772289064
1551,19,4,is_surgical,-61.44132050678749,-66.80662268193421,-56.27249235882448
1287,20,4,is_surgical,-63.51821589916207,-68.87515138373328,-57.73672523156728
1045,21,4,is_surgical,-66.32201076945415,-72.91987296645809,-61.01737828421713
856,22,4,is_surgical,-70.01647801746697,-76.90402299425614,-63.63086472871274
704,23,4,is_surgical,-70.86025859139826,-77.26682407547023,-64.30540356671301
584,24,4,is_surgical,-72.70012321817421,-82.14795759290911,-62.755219676518294
484,25,4,is_surgical,-74.29351241170247,-84.10228457430605,-67.77262836456526
404,26,4,is_surgical,-77.88865951104941,-87.16754455792207,-70.41354667964961
349,27,4,is_surgical,-78.25517860778697,-87.7204043021496,-65.45757686209393
293,28,4,is_surgical,-79.20864326424712,-95.17275712254929,-67.46029914755232
241,29,4,is_surgical,-82.2903906705344,-98.43096309164162,-66.63908690546941
204,30,4,is_surgical,-83.64236324533428,-102.31311307307567,-70.982892399858315
175,31,4,is_surgical,-76.90649350750593,-97.29487304036513,-60.78322466360581
140,32,4,is_surgical,-76.44890498052413,-98.04849168327047,-53.558249814915
119,33,4,is_surgical,-79.08880135496545,-104.2215160343033,-56.680674942689734
103,34,4,is_surgical,-85.9449859561405,-111.2335803096743,-66.09287644478954
92,35,4,is_surgical,-92.2507502268704,-119.00746818572094,-64.026637637616
