n,threshold,hr,category,ate,lower_ci,upper_ci
12387,5,1,is_iv,-22.976774133271448,-32.05380431738894,-12.394334157419308
12222,6,1,is_iv,-23.31611556114379,-29.56848362366813,-18.492959294012735
11878,7,1,is_iv,-19.14604039803106,-22.64205895290894,-16.446634304078657
11316,8,1,is_iv,-21.01996682500132,-23.68371432174081,-18.17488430328163
10602,9,1,is_iv,-21.03429247096375,-22.568056363273058,-18.79812272565229
9706,10,1,is_iv,-21.105662221066154,-23.139513257376848,-19.4015967052826
8750,11,1,is_iv,-20.813667013184983,-22.881394980551278,-19.067298793024662
7835,12,1,is_iv,-20.695766188313826,-22.491551036694517,-19.09773327080859
7021,13,1,is_iv,-19.86553442015662,-21.47800667751079,-18.357881260040358
6292,14,1,is_iv,-19.001169840182143,-20.922665551047857,-16.751044570401433
5647,15,1,is_iv,-18.66709105991137,-20.582227580887064,-17.01593790581464
5094,16,1,is_iv,-17.86307593848059,-19.500764812079865,-16.265342790179176
4586,17,1,is_iv,-17.67928451861718,-19.403132295658736,-15.898868573668608
4154,18,1,is_iv,-17.36801278864141,-19.121696606459153,-15.196676556584237
3807,19,1,is_iv,-16.252283926904028,-18.603570964024073,-13.798618901190764
3499,20,1,is_iv,-14.74248109920103,-17.028732755479467,-12.163357272921218
3241,21,1,is_iv,-13.995355880949006,-16.883421530360238,-12.03626342571917
2953,22,1,is_iv,-12.737698226216878,-15.81035186729332,-9.581990502319968
2726,23,1,is_iv,-12.077451804406962,-15.110436210526188,-9.690637423533673
2501,24,1,is_iv,-11.8482263967243,-14.20407579660889,-9.628280973095087
2305,25,1,is_iv,-10.375335180480135,-13.036977245338818,-7.936918906269085
2135,26,1,is_iv,-9.437643051380235,-12.266917805525992,-6.555667335308641
1983,27,1,is_iv,-8.45028756579677,-11.864465442141778,-5.07048373176363
1865,28,1,is_iv,-8.25912080654669,-11.374446081471348,-4.806443913504751
1744,29,1,is_iv,-8.46322606235779,-11.6498666895869,-4.720335459614745
1654,30,1,is_iv,-8.163275964765774,-12.10962698055593,-5.5383408121977595
1548,31,1,is_iv,-6.813966696861371,-10.107485190790044,-2.824142185396994
1448,32,1,is_iv,-5.361715818177743,-10.016220875941457,-1.672277842132047
1360,33,1,is_iv,-5.537623070364589,-10.15665301381054,-2.588808258637755
1282,34,1,is_iv,-4.57347716148837,-8.113100740250815,-0.8614546414931681
1200,35,1,is_iv,-3.6432664256329588,-8.887290984572616,-0.016980553401879206
1122,36,1,is_iv,-2.1445263213167607,-7.961792375523402,1.880957055009162
1060,37,1,is_iv,-1.9355975897500457,-6.072950471047903,2.3140040597060647
1006,38,1,is_iv,-1.9992431455924304,-7.802994854001923,2.9008436037794922
963,39,1,is_iv,-0.9261932300705098,-6.123490872559614,2.815908438481074
913,40,1,is_iv,0.5069812260632887,-4.232014941682138,4.953229613203206
12372,5,2,is_iv,-27.413848258384974,-33.99553173396049,-20.115612311427867
12197,6,2,is_iv,-30.67192152602476,-37.31118368499659,-24.51553946515486
11820,7,2,is_iv,-29.806822400152754,-34.105303796407014,-26.186924338773508
11135,8,2,is_iv,-30.20826934677345,-32.89905678785189,-27.728261596711263
10259,9,2,is_iv,-30.94677733370378,-32.815420059394256,-28.90093001366617
9217,10,2,is_iv,-31.92868853643199,-33.75042655218408,-30.188122032198066
8149,11,2,is_iv,-32.14373343531244,-33.88838486246871,-30.56663094697953
7220,12,2,is_iv,-34.18669391738962,-36.093988626671916,-32.90169839489516
6364,13,2,is_iv,-35.30925097318044,-36.85577861131301,-33.92904507803473
5658,14,2,is_iv,-35.88084479803132,-37.48136869223674,-34.48068827452241
5050,15,2,is_iv,-37.02734234635565,-38.924293815969946,-35.704117069636624
4472,16,2,is_iv,-38.76917116803389,-40.484689602816246,-37.01864445115177
3977,17,2,is_iv,-40.5777100041837,-42.513317014709315,-39.02199660547112
3546,18,2,is_iv,-41.29706137979309,-43.3650916422649,-39.2607482486429
3171,19,2,is_iv,-41.99057352657087,-43.90401233195442,-39.95576309143857
2830,20,2,is_iv,-41.83202134042398,-44.4063543819162,-39.613954909956334
2548,21,2,is_iv,-44.19721972575027,-46.63619235946297,-41.97170842776967
2276,22,2,is_iv,-45.36813523781339,-48.28053419522138,-43.28756173860512
